SN,$m_B$ (mag),$x_1$,$c$,$\mu$ (mag),Cluster,$z$,$r_{500}$ (Mpc),Proj. $r/r_{500}$,NED Host Galaxy,Host/SN $z$,Host SFR
2020lxu,$16.821 \pm 0.016$,$-1.491 \pm 0.039$,$+0.017 \pm 0.010$,$35.822 \pm 0.177$,MCXC J0036.5+2544,0.0341,0.55,0.45,WISEA J003608.66+254504.3,0.0332,Q
2020nin,$18.318 \pm 0.013$,$-0.672 \pm 0.101$,$+0.043 \pm 0.010$,$37.459 \pm 0.181$,MCXC J1825.3+3026,0.0650,0.95,1.28,WISEA J182606.42+301320.6,0.06,SF
2020nlh,$18.892 \pm 0.011$,$-1.470 \pm 0.066$,$-0.008 \pm 0.008$,$37.960 \pm 0.167$,MCXC J1620.5+2953,0.0972,0.94,0.88,WISEA J162030.13+300121.4,0.0953,Q
2020ppe,$17.733 \pm 0.009$,$-2.918 \pm 0.048$,$+0.143 \pm 0.006$,$36.214 \pm 0.174$,MCXC J0040.0+0649,0.0395,0.70,0.75,WISEA J003936.06+063951.2,0.0389,Q
2020sia,$18.894 \pm 0.015$,$+0.401 \pm 0.105$,$-0.024 \pm 0.010$,$38.335 \pm 0.180$,MCXC J0020.6+2840,0.0940,0.92,1.01,WISEA J002040.60+284835.4,0.094,Q
2020vnr,$18.514 \pm 0.013$,$+0.014 \pm 0.154$,$-0.076 \pm 0.011$,$38.027 \pm 0.181$,MCXC J0003.8+0203,0.0924,0.82,1.78,N/A,0.09,N/A
2020wcj,$15.959 \pm 0.003$,$-1.649 \pm 0.012$,$+0.085 \pm 0.002$,$34.764 \pm 0.191$,MCXC J0252.8-0116,0.0235,0.54,0.14,N/A,0.0237,N/A
2020xps,$18.058 \pm 0.017$,$+0.272 \pm 0.121$,$-0.053 \pm 0.012$,$37.550 \pm 0.181$,MCXC J0258.9+1334,0.0739,1.24,1.44,WISEA J025733.72+132831.6,0.07,SF
2020yji,$17.711 \pm 0.013$,$+1.428 \pm 0.124$,$-0.072 \pm 0.010$,$37.341 \pm 0.170$,MCXC J1200.3+5613,0.0650,0.76,0.96,N/A,0.07,N/A
2020zgh,$17.324 \pm 0.013$,$-0.327 \pm 0.087$,$+0.082 \pm 0.010$,$36.417 \pm 0.185$,MCXC J0115.2+0019,0.0450,0.75,1.52,WISEA J011553.37+000056.8,0.045,Q
2020acqt,$18.268 \pm 0.012$,$+0.792 \pm 0.085$,$+0.169 \pm 0.010$,$37.303 \pm 0.183$,MCXC J1147.3+5544,0.0510,0.62,2.00,MRK 1455,0.0529,SF
2020acwj,$17.421 \pm 0.023$,$-0.399 \pm 0.134$,$+0.224 \pm 0.016$,$36.168 \pm 0.185$,MCXC J2310.4+0734,0.0424,0.73,1.48,WISEA J231138.74+074649.1,0.04,Q
2020aden,$17.878 \pm 0.029$,$-2.021 \pm 0.144$,$-0.075 \pm 0.021$,$37.043 \pm 0.173$,MCXC J0108.8-1524,0.0533,0.75,0.98,WISEA J010801.10-152419.6,0.055,Q
2021wh,$17.024 \pm 0.010$,$-2.098 \pm 0.058$,$+0.032 \pm 0.008$,$36.002 \pm 0.189$,MCXC J0937.9-2020,0.0344,0.55,1.06,WISEA J093754.93-200640.9,0.035,SF
