SN,mB,mB_err,x1,x1_err,c,c_err,mu,mu_err,HR,Outlier,log(M_stellar),log(M_stellar)_err,log(sSFR),log(sSFR)_err,Host z,Host z (HD)
2016cpy,16.585,0.114,-0.157,0.878,-0.069,0.159,35.996,0.341,0.392,y,11.25,0.07,-14.97,2.9,0.0292,0.0301
2016elg,17.73,0.063,0.194,0.308,0.086,0.041,36.814,0.145,-0.037,n,10.87,0.09,-10.72,0.2,0.054,0.0527
2017baq,18.507,0.126,-1.818,0.928,0.24,0.086,36.968,0.192,-0.153,n,11.0,0.07,-13.62,2.05,0.0581,0.0593
2017dwp,16.803,0.09,-2.31,0.219,-0.095,0.056,36.004,0.144,0.183,n,10.19,0.07,-13.67,1.95,0.0333,0.0332
2017eaz,16.925,0.116,-1.871,0.352,0.188,0.069,35.503,0.149,0.486,y,11.05,0.08,-12.17,0.7,0.0235,0.0231
2017iha,17.403,0.025,-2.069,0.265,-0.174,0.023,36.824,0.15,0.152,n,10.86,0.1,-11.12,0.4,0.0479,0.0486
2018aki,16.435,0.023,-1.704,0.121,-0.038,0.021,35.575,0.144,-0.054,n,10.08,0.09,-12.42,0.85,0.0302,0.0305
2018amo,16.517,0.004,-1.925,0.014,0.141,0.003,35.2,0.142,-0.433,y,10.86,0.07,-12.62,0.95,0.0297,0.0305
2018avg,17.768,0.063,-2.783,0.114,0.063,0.037,36.529,0.143,-0.022,n,11.16,0.08,-13.87,2.25,0.0463,0.0461
2018bfd,17.637,0.013,-1.92,0.101,-0.092,0.011,36.88,0.141,0.091,n,11.27,0.06,-13.52,1.8,0.0516,0.0512
2018bff,17.909,0.012,-1.054,0.078,-0.039,0.011,37.135,0.141,-0.118,n,9.98,0.07,-14.02,2.2,0.0623,0.0629
2018bfh,17.094,0.008,-1.377,0.153,0.023,0.007,36.13,0.141,-0.424,y,10.86,0.09,-11.27,0.45,0.0445,0.0461
2018bhc,18.214,0.022,-1.198,0.06,0.029,0.01,37.259,0.14,0.219,n,10.18,0.06,-13.17,1.6,0.056,0.0572
2018bhi,17.902,0.005,-0.326,0.046,-0.079,0.004,37.316,0.139,0.072,n,10.78,0.05,-14.97,2.95,0.0618,0.0627
2018bij,18.555,0.021,-1.646,0.345,0.066,0.019,37.453,0.149,-0.412,y,10.84,0.07,-12.07,0.8,0.0812,0.0823
2018biv,18.706,0.024,-1.415,0.177,0.107,0.019,37.536,0.144,-0.037,n,10.65,0.06,-14.97,2.6,0.0719,0.0724
2018bjc,18.378,0.007,-0.8,0.091,-0.079,0.007,37.731,0.139,0.149,n,10.87,0.05,-14.97,2.9,0.0732,0.0727
2018bsn,18.05,0.016,-0.293,0.125,0.241,0.012,36.701,0.14,-0.431,n,11.09,0.06,-14.97,2.7,0.0586,0.0596
2018bvx,18.577,0.012,0.305,0.135,0.267,0.011,37.244,0.14,-0.427,n,10.4,0.08,-11.27,0.45,0.0761,0.0756
2018byi,17.219,0.008,0.116,0.083,-0.122,0.007,36.793,0.14,0.411,y,11.15,0.06,-14.97,2.4,0.0439,0.0427
2018cdt,16.794,0.004,-1.918,0.033,-0.112,0.004,36.085,0.141,0.155,n,10.97,0.07,-14.82,2.8,0.0339,0.0349
2018cea,18.422,0.009,0.206,0.271,-0.044,0.01,37.82,0.143,-0.035,n,10.82,0.03,-14.97,1.5,0.0821,0.0819
2018cof,18.617,0.006,0.283,0.06,-0.007,0.005,37.935,0.138,-0.2,n,10.78,0.06,-14.97,3.0,0.0916,0.0925
2018coj,18.81,0.017,-1.264,0.235,-0.108,0.016,38.174,0.143,0.366,n,11.05,0.06,-14.97,2.65,0.0792,0.0802
2018ctc,17.538,0.009,0.92,0.098,0.003,0.008,36.914,0.141,0.598,y,11.01,0.06,-14.97,2.75,0.0422,0.0415
2018cty,18.058,0.013,-1.711,0.141,0.012,0.011,37.078,0.141,0.088,n,10.47,0.07,-13.02,1.4,0.0557,0.056
2018cvv,18.186,0.037,-0.911,0.282,0.021,0.028,37.287,0.146,-0.058,n,11.0,0.06,-14.97,2.2,0.0646,0.0655
2018cvw,16.41,0.002,-1.384,0.016,0.02,0.002,35.452,0.142,-0.189,n,10.27,0.05,-14.97,1.3,0.0309,0.0306
2018ddh,16.926,0.015,-0.928,0.088,0.059,0.012,35.932,0.142,-0.267,n,11.16,0.08,-12.02,0.6,0.0383,0.0394
2018der,17.798,0.011,-1.27,0.064,0.048,0.009,36.787,0.14,-0.044,n,10.91,0.04,-14.97,1.95,0.0515,0.0522
2018dyz,17.106,0.009,0.305,0.091,-0.012,0.008,36.439,0.14,-0.134,n,10.68,0.07,-14.12,2.55,0.0449,0.0465
2018edz,17.67,0.016,-1.596,0.124,0.057,0.012,36.597,0.14,-0.127,n,11.26,0.07,-14.97,2.85,0.0503,0.0498
2018ert,18.738,0.012,-0.136,0.085,0.0,0.01,37.986,0.139,-0.21,n,10.39,0.08,-11.97,0.65,0.094,0.095
2018etj,18.11,0.015,1.124,0.173,0.268,0.011,36.876,0.142,0.495,y,10.72,0.07,-13.42,1.8,0.0427,0.0427
2018fod,18.83,0.031,-0.626,0.413,0.198,0.024,37.542,0.153,-0.256,n,10.51,0.06,-14.97,2.95,0.0802,0.0799
2018fpv,18.469,0.025,1.933,0.445,0.025,0.02,37.922,0.155,0.11,n,10.84,0.09,-11.07,0.35,0.0793,0.0804
2018gjr,17.657,0.01,-2.139,0.103,-0.021,0.008,36.701,0.14,0.188,n,11.16,0.07,-12.87,1.45,0.0462,0.0453
2018ibj,18.991,0.008,0.129,0.145,0.098,0.008,38.039,0.14,-0.208,n,10.92,0.07,-14.97,2.85,0.0966,0.0971
2018iuv,18.608,0.056,-1.686,0.333,-0.068,0.043,37.824,0.155,0.029,n,10.37,0.05,-14.97,2.7,0.079,0.0798
2018jgs,18.589,0.038,-1.432,0.258,-0.026,0.031,37.737,0.149,0.093,n,10.83,0.07,-11.72,0.65,0.0753,0.0747
2018jrv,17.455,0.018,0.074,0.123,0.03,0.013,36.659,0.141,-0.138,n,10.81,0.08,-11.82,0.55,0.0502,0.0514
2018kbh,16.668,0.01,0.268,0.06,0.254,0.007,35.361,0.144,-0.009,n,11.07,0.08,-14.32,2.35,0.0261,0.0271
2018lak,18.215,0.017,-0.768,0.159,0.175,0.013,36.964,0.141,-0.065,n,10.19,0.07,-13.92,2.2,0.0562,0.057
2018lef,18.989,0.028,0.354,0.517,0.044,0.022,38.195,0.158,0.1,n,11.1,0.06,-14.97,3.05,0.0904,0.0909
2018les,17.282,0.011,0.007,0.102,-0.034,0.01,36.629,0.141,-0.02,n,10.84,0.04,-14.97,1.0,0.0477,0.0481
2018lzf,17.854,0.058,-0.463,0.375,-0.174,0.042,37.478,0.148,-0.016,n,10.99,0.07,-12.42,0.95,0.069,0.0699
2019aik,15.698,0.004,-0.713,0.024,0.168,0.003,34.472,0.145,-0.56,y,11.13,0.07,-12.32,0.7,0.0231,0.0233
2019amo,18.017,0.047,-1.41,0.221,-0.015,0.035,37.138,0.151,0.238,n,11.0,0.04,-14.97,2.0,0.0551,0.0538
2019baq,16.762,0.005,-0.991,0.029,-0.06,0.004,36.045,0.141,0.206,n,10.47,0.06,-14.02,2.2,0.0335,0.0335
2019bar,18.004,0.008,1.55,0.073,0.017,0.006,37.426,0.139,0.141,n,11.27,0.06,-14.97,2.6,0.0632,0.0638
2019bau,19.175,0.014,-0.08,0.131,0.266,0.011,37.794,0.141,-0.026,n,10.88,0.09,-10.02,0.14,0.0799,0.0807
2019bis,18.307,0.02,-1.237,0.101,0.005,0.014,37.404,0.14,-0.143,n,10.82,0.07,-12.12,0.75,0.0707,0.0716
2019blp,16.881,0.059,-1.68,0.122,-0.216,0.033,36.452,0.143,-0.342,y,10.62,0.06,-14.97,2.95,0.0501,0.0513
2019blu,18.274,0.052,1.842,0.398,-0.17,0.041,38.182,0.172,0.531,y,11.41,0.08,-10.92,0.25,0.0759,0.0749
2019bue,16.778,0.01,-2.121,0.045,0.059,0.007,35.634,0.142,0.033,n,10.06,0.06,-14.97,2.95,0.0308,0.0301
2019bxh,17.519,0.005,-2.614,0.025,0.093,0.004,36.23,0.14,0.019,n,10.2,0.04,-14.97,1.4,0.0382,0.0396
2019byv,17.884,0.02,-0.416,0.148,0.057,0.015,36.96,0.141,-0.11,n,10.96,0.07,-11.67,0.6,0.0575,0.058
2019cdn,17.587,0.005,-0.913,0.042,0.104,0.004,36.489,0.139,-0.169,n,11.31,0.04,-14.97,1.6,0.0464,0.0483
2019cea,17.753,0.005,0.557,0.043,-0.004,0.004,37.1,0.139,-0.061,n,10.6,0.07,-14.97,3.15,0.0604,0.0604
2019ceq,18.687,0.008,0.199,0.073,0.041,0.007,37.879,0.139,-0.024,n,10.72,0.07,-11.37,0.4,0.0832,0.0836
2019cir,18.684,0.007,0.768,0.066,0.06,0.006,37.903,0.138,-0.109,n,10.69,0.08,-10.82,0.2,0.0877,0.0877
